"ID";"RegioS";"Perioden";"TotaleBevolking_1"
"3569";"GM0373";"2024JJ00";"   29932"
"3595";"GM0748";"2020JJ00";"   67496"
"3596";"GM0748";"2021JJ00";"   67514"
"3597";"GM0748";"2022JJ00";"   67894"
"3598";"GM0748";"2023JJ00";"   68864"
"3599";"GM0748";"2024JJ00";"   69694"
"3625";"GM0749";"2020JJ00";""
"3626";"GM0749";"2021JJ00";""
"3627";"GM0749";"2022JJ00";""
"3628";"GM0749";"2023JJ00";""
"3629";"GM0749";"2024JJ00";""
"3655";"GM0207";"2020JJ00";""
"3656";"GM0207";"2021JJ00";""
"3657";"GM0207";"2022JJ00";""
"3658";"GM0207";"2023JJ00";""
"3659";"GM0207";"2024JJ00";""
"3685";"GM0492";"2020JJ00";""
"3686";"GM0492";"2021JJ00";""
"3687";"GM0492";"2022JJ00";""
"3688";"GM0492";"2023JJ00";""
"3689";"GM0492";"2024JJ00";""
"3715";"GM0493";"2020JJ00";""
"3716";"GM0493";"2021JJ00";""
"3717";"GM0493";"2022JJ00";""
"3718";"GM0493";"2023JJ00";""
"3719";"GM0493";"2024JJ00";""
"3745";"GM0751";"2020JJ00";""
"3746";"GM0751";"2021JJ00";""
"3747";"GM0751";"2022JJ00";""
"3748";"GM0751";"2023JJ00";""
"3749";"GM0751";"2024JJ00";""
"3775";"GM1859";"2020JJ00";"   43747"
"3776";"GM1859";"2021JJ00";"   43846"
"3777";"GM1859";"2022JJ00";"   43850"
"3778";"GM1859";"2023JJ00";"   44022"
"3779";"GM1859";"2024JJ00";"   43933"
"3805";"GM0752";"2020JJ00";""
"3806";"GM0752";"2021JJ00";""
"3807";"GM0752";"2022JJ00";""
"3808";"GM0752";"2023JJ00";""
"3809";"GM0752";"2024JJ00";""
"3835";"GM1721";"2020JJ00";"   31240"
"3836";"GM1721";"2021JJ00";"   31455"
"3837";"GM1721";"2022JJ00";"   31715"
"3838";"GM1721";"2023JJ00";"   32263"
"3839";"GM1721";"2024JJ00";"   32527"
"3865";"GM0568";"2020JJ00";""
"3866";"GM0568";"2021JJ00";""
"3867";"GM0568";"2022JJ00";""
"3868";"GM0568";"2023JJ00";""
"3869";"GM0568";"2024JJ00";""
"3895";"GM0753";"2020JJ00";"   29988"
"3896";"GM0753";"2021JJ00";"   30216"
"3897";"GM0753";"2022JJ00";"   30608"
"3898";"GM0753";"2023JJ00";"   30897"
"3899";"GM0753";"2024JJ00";"   31223"
"3925";"GM0209";"2020JJ00";"   25890"
"3926";"GM0209";"2021JJ00";"   26157"
"3927";"GM0209";"2022JJ00";"   26235"
"3928";"GM0209";"2023JJ00";"   26573"
"3929";"GM0209";"2024JJ00";"   26725"
"3955";"GM0375";"2020JJ00";"   41626"
"3956";"GM0375";"2021JJ00";"   41863"
"3957";"GM0375";"2022JJ00";"   42084"
"3958";"GM0375";"2023JJ00";"   42711"
"3959";"GM0375";"2024JJ00";"   42866"
"3985";"GM0063";"2020JJ00";""
"3986";"GM0063";"2021JJ00";""
"3987";"GM0063";"2022JJ00";""
"3988";"GM0063";"2023JJ00";""
"3989";"GM0063";"2024JJ00";""
"4015";"GM0310";"2020JJ00";"   43137"
"4016";"GM0310";"2021JJ00";"   43384"
"4017";"GM0310";"2022JJ00";"   43508"
"4018";"GM0310";"2023JJ00";"   43884"
"4019";"GM0310";"2024JJ00";"   43718"
"4045";"GM0585";"2020JJ00";""
"4046";"GM0585";"2021JJ00";""
"4047";"GM0585";"2022JJ00";""
"4048";"GM0585";"2023JJ00";""
"4049";"GM0585";"2024JJ00";""
"4075";"GM1728";"2020JJ00";"   20390"
"4076";"GM1728";"2021JJ00";"   20529"
"4077";"GM1728";"2022JJ00";"   20718"
"4078";"GM1728";"2023JJ00";"   21009"
"4079";"GM1728";"2024JJ00";"   20985"
"4105";"GM0754";"2020JJ00";""
"4106";"GM0754";"2021JJ00";""
"4107";"GM0754";"2022JJ00";""
"4108";"GM0754";"2023JJ00";""
"4109";"GM0754";"2024JJ00";""
"4135";"GM0376";"2020JJ00";"   11540"
"4136";"GM0376";"2021JJ00";"   11954"
"4137";"GM0376";"2022JJ00";"   12359"
"4138";"GM0376";"2023JJ00";"   12490"
"4139";"GM0376";"2024JJ00";"   12724"
"4165";"GM0495";"2020JJ00";""
"4166";"GM0495";"2021JJ00";""
"4167";"GM0495";"2022JJ00";""
"4168";"GM0495";"2023JJ00";""
"4169";"GM0495";"2024JJ00";""
"4195";"GM0377";"2020JJ00";"   23571"
"4196";"GM0377";"2021JJ00";"   23478"
"4197";"GM0377";"2022JJ00";"   23732"
"4198";"GM0377";"2023JJ00";"   23922"
"4199";"GM0377";"2024JJ00";"   23786"
"4225";"GM0055";"2020JJ00";""
"4226";"GM0055";"2021JJ00";""
"4227";"GM0055";"2022JJ00";""
"4228";"GM0055";"2023JJ00";""
"4229";"GM0055";"2024JJ00";""
"4255";"GM0497";"2020JJ00";""
"4256";"GM0497";"2021JJ00";""
"4257";"GM0497";"2022JJ00";""
"4258";"GM0497";"2023JJ00";""
"4259";"GM0497";"2024JJ00";""
"4285";"GM1901";"2020JJ00";"   34872"
"4286";"GM1901";"2021JJ00";"   35278"
"4287";"GM1901";"2022JJ00";"   35752"
"4288";"GM1901";"2023JJ00";"   36308"
"4289";"GM1901";"2024JJ00";"   36569"
"4315";"GM0755";"2020JJ00";"   10785"
"4316";"GM0755";"2021JJ00";"   10959"
"4317";"GM0755";"2022JJ00";"   11030"
"4318";"GM0755";"2023JJ00";"   11163"
"4319";"GM0755";"2024JJ00";"   11293"
"4345";"GM0009";"2020JJ00";""
"4346";"GM0009";"2021JJ00";""
"4347";"GM0009";"2022JJ00";""
"4348";"GM0009";"2023JJ00";""
"4349";"GM0009";"2024JJ00";""
"4375";"GM0064";"2020JJ00";""
"4376";"GM0064";"2021JJ00";""
"4377";"GM0064";"2022JJ00";""
"4378";"GM0064";"2023JJ00";""
"4379";"GM0064";"2024JJ00";""
"4405";"GM0211";"2020JJ00";""
"4406";"GM0211";"2021JJ00";""
"4407";"GM0211";"2022JJ00";""
"4408";"GM0211";"2023JJ00";""
"4409";"GM0211";"2024JJ00";""
"4435";"GM0108";"2020JJ00";""
"4436";"GM0108";"2021JJ00";""
"4437";"GM0108";"2022JJ00";""
"4438";"GM0108";"2023JJ00";""
"4439";"GM0108";"2024JJ00";""
"4465";"GM1681";"2020JJ00";"   25559"
"4466";"GM1681";"2021JJ00";"   25598"
"4467";"GM1681";"2022JJ00";"   25681"
"4468";"GM1681";"2023JJ00";"   25919"
"4469";"GM1681";"2024JJ00";"   26014"
"4495";"GM0897";"2020JJ00";""
"4496";"GM0897";"2021JJ00";""
"4497";"GM0897";"2022JJ00";""
"4498";"GM0897";"2023JJ00";""
"4499";"GM0897";"2024JJ00";""
"4525";"GM0147";"2020JJ00";"   23312"
"4526";"GM0147";"2021JJ00";"   23668"
"4527";"GM0147";"2022JJ00";"   24007"
"4528";"GM0147";"2023JJ00";"   24524"
"4529";"GM0147";"2024JJ00";"   24639"
"4555";"GM0654";"2020JJ00";"   22739"
"4556";"GM0654";"2021JJ00";"   22818"
"4557";"GM0654";"2022JJ00";"   22847"
"4558";"GM0654";"2023JJ00";"   23159"
"4559";"GM0654";"2024JJ00";"   23121"
"4585";"GM0499";"2020JJ00";""
"4586";"GM0499";"2021JJ00";""
"4587";"GM0499";"2022JJ00";""
"4588";"GM0499";"2023JJ00";""
"4589";"GM0499";"2024JJ00";""
"4615";"GM0756";"2020JJ00";"   29365"
"4616";"GM0756";"2021JJ00";"   29609"
"4617";"GM0756";"2022JJ00";""
"4618";"GM0756";"2023JJ00";""
"4619";"GM0756";"2024JJ00";""
"4645";"GM0757";"2020JJ00";"   30801"
"4646";"GM0757";"2021JJ00";"   32973"
"4647";"GM0757";"2022JJ00";"   33129"
"4648";"GM0757";"2023JJ00";"   33748"
"4649";"GM0757";"2024JJ00";"   33979"
"4675";"GM0212";"2020JJ00";""
"4676";"GM0212";"2021JJ00";""
"4677";"GM0212";"2022JJ00";""
"4678";"GM0212";"2023JJ00";""
"4679";"GM0212";"2024JJ00";""
